"indicator","base-per","Unit","Date","Value"
"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE","2014M12","Index","2021M8","113.55"
"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE","2014M12","Index","2021M9","113.55"
"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE","2014M12","Index","2021M10","113.551378328265"
"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE","2014M12","Index","2021M11","113.551378328265"
"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE","2014M12","Index","2021M12","110.632585595283"
"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE","2014M12","Index","2022M1","109.530140213584"
"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE","2014M12","Index","2022M2","109.530140213584"
"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE","2014M12","Index","2022M3","109.530140213584"
"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE","2014M12","Index","2022M4","109.530140213584"
"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE","2014M12","Index","2022M5","109.53"
"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE","2014M12","Index","2022M6","109.53"
"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE","2014M12","Index","2022M7","109.53"
"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE","2014M12","Index","2022M8","109.53"
"HEALTH","2014M12","Index","2014M12","100"
"HEALTH","2014M12","Index","2015M1","103.265664931542"
"HEALTH","2014M12","Index","2015M2","103.265664931542"
"HEALTH","2014M12","Index","2015M3","103.211047417429"
"HEALTH","2014M12","Index","2015M4","103.05493956425"
"HEALTH","2014M12","Index","2015M5","103.211047417429"
"HEALTH","2014M12","Index","2015M6","103.211047417429"
"HEALTH","2014M12","Index","2015M7","106.165098889218"
"HEALTH","2014M12","Index","2015M8","106.826852705661"
"HEALTH","2014M12","Index","2015M9","106.826852705661"
"HEALTH","2014M12","Index","2015M10","103.087047505892"
"HEALTH","2014M12","Index","2015M11","103.72591453496"
"HEALTH","2014M12","Index","2015M12","103.211047417429"
"HEALTH","2014M12","Index","2016M1","102.369921292833"
"HEALTH","2014M12","Index","2016M2","101.209068487473"
"HEALTH","2014M12","Index","2016M3","101.57505310209"
"HEALTH","2014M12","Index","2016M4","91.7315978277731"
"HEALTH","2014M12","Index","2016M5","94.0110246672414"
"HEALTH","2014M12","Index","2016M6","96.0188247007265"
"HEALTH","2014M12","Index","2016M7","96.0188247007265"
"HEALTH","2014M12","Index","2016M8","96.0188247007265"
"HEALTH","2014M12","Index","2016M9","96.0188247007265"
"HEALTH","2014M12","Index","2016M10","101.389821260641"
"HEALTH","2014M12","Index","2016M11","106.027432325445"
"HEALTH","2014M12","Index","2016M12","97.7680436454931"
"HEALTH","2014M12","Index","2017M1","98.3283956288849"
"HEALTH","2014M12","Index","2017M2","98.4257195222937"
"HEALTH","2014M12","Index","2017M3","95.5021472098108"
"HEALTH","2014M12","Index","2017M4","98.5576516578137"
"HEALTH","2014M12","Index","2017M5","99.6185121428637"
"HEALTH","2014M12","Index","2017M6","103.395896017025"
"HEALTH","2014M12","Index","2017M7","102.632101247816"
"HEALTH","2014M12","Index","2017M8","102.901063770006"
"HEALTH","2014M12","Index","2017M9","103.293664159388"
"HEALTH","2014M12","Index","2017M10","103.293664159388"
"HEALTH","2014M12","Index","2017M11","104.202612066918"
"HEALTH","2014M12","Index","2017M12","103.616741256118"
"HEALTH","2014M12","Index","2018M1","98.4704007334916"
"HEALTH","2014M12","Index","2018M2","98.4704007334916"
"HEALTH","2014M12","Index","2018M3","99.0125311603856"
"HEALTH","2014M12","Index","2018M4","99.0125311603856"
"HEALTH","2014M12","Index","2018M5","99.5745209656236"
"HEALTH","2014M12","Index","2018M6","99.5745209656235"
"HEALTH","2014M12","Index","2018M7","99.0465032364537"
"HEALTH","2014M12","Index","2018M8","99.0465032364537"
"HEALTH","2014M12","Index","2018M9","100.309656318467"
"HEALTH","2014M12","Index","2018M10","102.774499856398"
"HEALTH","2014M12","Index","2018M11","102.774499856398"
"HEALTH","2014M12","Index","2018M12","102.774499856398"
"HEALTH","2014M12","Index","2019M1","102.552056388028"
"HEALTH","2014M12","Index","2019M2","118.269050220106"
"HEALTH","2014M12","Index","2019M3","118.197624509682"
"HEALTH","2014M12","Index","2019M4","118.197624509682"
"HEALTH","2014M12","Index","2019M5","118.519208804712"
"HEALTH","2014M12","Index","2019M6","118.519208804712"
"HEALTH","2014M12","Index","2019M7","118.917592159714"
"HEALTH","2014M12","Index","2019M8","118.917592159714"
"HEALTH","2014M12","Index","2019M9","118.917592159714"
"HEALTH","2014M12","Index","2019M10","118.917592159714"
"HEALTH","2014M12","Index","2019M11","118.917592159714"
"HEALTH","2014M12","Index","2019M12","119.134966464024"
"HEALTH","2014M12","Index","2020M1","119.280225199895"
"HEALTH","2014M12","Index","2020M2","119.622880573212"
"HEALTH","2014M12","Index","2020M3","124.989935774273"
"HEALTH","2014M12","Index","2020M4","132.117135922055"
"HEALTH","2014M12","Index","2020M5","132.117135922055"
"HEALTH","2014M12","Index","2020M6","133.103493908222"
"HEALTH","2014M12","Index","2020M7","145.162904971845"
"HEALTH","2014M12","Index","2020M8","145.162904971845"
"HEALTH","2014M12","Index","2020M9","145.162904971845"
"HEALTH","2014M12","Index","2020M10","145.162904971845"
"HEALTH","2014M12","Index","2020M11","145.162904971845"
"HEALTH","2014M12","Index","2020M12","141.261943716399"
"HEALTH","2014M12","Index","2021M1","142.06"
"HEALTH","2014M12","Index","2021M2","147.54"
"HEALTH","2014M12","Index","2021M3","153.63"
"HEALTH","2014M12","Index","2021M4","155.73"
"HEALTH","2014M12","Index","2021M5","158.99"
"HEALTH","2014M12","Index","2021M6","161.16"
"HEALTH","2014M12","Index","2021M7","161.16"
"HEALTH","2014M12","Index","2021M8","161.16"
"HEALTH","2014M12","Index","2021M9","161.16"
"HEALTH","2014M12","Index","2021M10","161.162924619008"
"HEALTH","2014M12","Index","2021M11","161.162924619008"
"HEALTH","2014M12","Index","2021M12","161.162924619008"
"HEALTH","2014M12","Index","2022M1","161.162924619008"
"HEALTH","2014M12","Index","2022M2","161.162924619008"
"HEALTH","2014M12","Index","2022M3","161.162924619008"
"HEALTH","2014M12","Index","2022M4","161.162924619007"
"HEALTH","2014M12","Index","2022M5","161.16"
"HEALTH","2014M12","Index","2022M6","161.16"
"HEALTH","2014M12","Index","2022M7","161.16"
"HEALTH","2014M12","Index","2022M8","161.16"
"TRANSPORT","2014M12","Index","2014M12","100"
"TRANSPORT","2014M12","Index","2015M1","105.788295819483"
"TRANSPORT","2014M12","Index","2015M2","104.790835965971"
"TRANSPORT","2014M12","Index","2015M3","104.790835965971"
"TRANSPORT","2014M12","Index","2015M4","105.302722612151"
"TRANSPORT","2014M12","Index","2015M5","102.464837719945"
"TRANSPORT","2014M12","Index","2015M6","102.464837719945"
"TRANSPORT","2014M12","Index","2015M7","103.120784511513"
"TRANSPORT","2014M12","Index","2015M8","103.207734967682"
"TRANSPORT","2014M12","Index","2015M9","103.338441545727"
"TRANSPORT","2014M12","Index","2015M10","102.464837719945"
"TRANSPORT","2014M12","Index","2015M11","102.464837719945"
"TRANSPORT","2014M12","Index","2015M12","102.464837719945"
"TRANSPORT","2014M12","Index","2016M1","99.4474065328453"
"TRANSPORT","2014M12","Index","2016M2","99.4474065328453"
"TRANSPORT","2014M12","Index","2016M3","99.5747135826238"
"TRANSPORT","2014M12","Index","2016M4","104.393633713422"
"TRANSPORT","2014M12","Index","2016M5","104.393633713422"
"TRANSPORT","2014M12","Index","2016M6","103.966050165089"
"TRANSPORT","2014M12","Index","2016M7","103.966050165089"
"TRANSPORT","2014M12","Index","2016M8","103.966050165089"
"TRANSPORT","2014M12","Index","2016M9","103.966050165089"
"TRANSPORT","2014M12","Index","2016M10","103.433254794911"
"TRANSPORT","2014M12","Index","2016M11","106.595376650198"
"TRANSPORT","2014M12","Index","2016M12","104.438349445545"
"TRANSPORT","2014M12","Index","2017M1","104.247944870219"
"TRANSPORT","2014M12","Index","2017M2","104.871596155971"
"TRANSPORT","2014M12","Index","2017M3","104.518737891928"
"TRANSPORT","2014M12","Index","2017M4","101.603486412313"
"TRANSPORT","2014M12","Index","2017M5","98.8979718904333"
"TRANSPORT","2014M12","Index","2017M6","100.329908131461"
"TRANSPORT","2014M12","Index","2017M7","99.8342669290783"
"TRANSPORT","2014M12","Index","2017M8","100.592532613314"
"TRANSPORT","2014M12","Index","2017M9","100.630125823199"
"TRANSPORT","2014M12","Index","2017M10","102.279126629073"
"TRANSPORT","2014M12","Index","2017M11","102.027115811661"
"TRANSPORT","2014M12","Index","2017M12","102.016155350432"
"TRANSPORT","2014M12","Index","2018M1","102.109499522117"
"TRANSPORT","2014M12","Index","2018M2","102.390946587333"
"TRANSPORT","2014M12","Index","2018M3","103.578761332284"
"TRANSPORT","2014M12","Index","2018M4","103.769309573109"
"TRANSPORT","2014M12","Index","2018M5","104.84725900257"
"TRANSPORT","2014M12","Index","2018M6","104.84725900257"
"TRANSPORT","2014M12","Index","2018M7","104.84725900257"
"TRANSPORT","2014M12","Index","2018M8","104.84725900257"
"TRANSPORT","2014M12","Index","2018M9","105.405403328449"
"TRANSPORT","2014M12","Index","2018M10","107.806423713335"
"TRANSPORT","2014M12","Index","2018M11","105.377693382245"
"TRANSPORT","2014M12","Index","2018M12","105.570804787234"
"TRANSPORT","2014M12","Index","2019M1","105.635883399177"
"TRANSPORT","2014M12","Index","2019M2","108.260961567282"
"TRANSPORT","2014M12","Index","2019M3","108.260961567282"
"TRANSPORT","2014M12","Index","2019M4","108.906783063975"
"TRANSPORT","2014M12","Index","2019M5","109.792494054633"
"TRANSPORT","2014M12","Index","2019M6","107.944458981259"
"TRANSPORT","2014M12","Index","2019M7","106.960178757279"
"TRANSPORT","2014M12","Index","2019M8","109.930073757786"
"TRANSPORT","2014M12","Index","2019M9","108.278908951423"
"TRANSPORT","2014M12","Index","2019M10","110.567390605427"
"TRANSPORT","2014M12","Index","2019M11","110.567390605427"
"TRANSPORT","2014M12","Index","2019M12","110.567390605427"
"TRANSPORT","2014M12","Index","2020M1","110.567390605427"
"TRANSPORT","2014M12","Index","2020M2","110.567390605427"
"TRANSPORT","2014M12","Index","2020M3","110.567390605427"
"TRANSPORT","2014M12","Index","2020M4","110.82518416252"
"TRANSPORT","2014M12","Index","2020M5","110.82518416252"
"TRANSPORT","2014M12","Index","2020M6","110.82518416252"
"TRANSPORT","2014M12","Index","2020M7","110.82518416252"
"TRANSPORT","2014M12","Index","2020M8","110.82518416252"
"TRANSPORT","2014M12","Index","2020M9","112.002485874846"
"TRANSPORT","2014M12","Index","2020M10","112.002485874846"
"TRANSPORT","2014M12","Index","2020M11","110.302063768485"
"TRANSPORT","2014M12","Index","2020M12","105.025861021127"
"TRANSPORT","2014M12","Index","2021M1","105.07"
"TRANSPORT","2014M12","Index","2021M2","107.17"
"TRANSPORT","2014M12","Index","2021M3","107.73"
"TRANSPORT","2014M12","Index","2021M4","109.65"
"TRANSPORT","2014M12","Index","2021M5","109.65"
"TRANSPORT","2014M12","Index","2021M6","109.99"
"TRANSPORT","2014M12","Index","2021M7","110.54"
"TRANSPORT","2014M12","Index","2021M8","110.54"
"TRANSPORT","2014M12","Index","2021M9","110.54"
"TRANSPORT","2014M12","Index","2021M10","111.351889920369"
"TRANSPORT","2014M12","Index","2021M11","111.351889920369"
"TRANSPORT","2014M12","Index","2021M12","109.52341029292"
"TRANSPORT","2014M12","Index","2022M1","107.259117091768"
"TRANSPORT","2014M12","Index","2022M2","109.170968920431"
"TRANSPORT","2014M12","Index","2022M3","111.126005126349"
"TRANSPORT","2014M12","Index","2022M4","111.126005126349"
"TRANSPORT","2014M12","Index","2022M5","111.13"
"TRANSPORT","2014M12","Index","2022M6","111.13"
"TRANSPORT","2014M12","Index","2022M7","110.57"
"TRANSPORT","2014M12","Index","2022M8","110.57"
"COMMUNICATION","2014M12","Index","2014M12","100"
"COMMUNICATION","2014M12","Index","2015M1","101.251159250809"
"COMMUNICATION","2014M12","Index","2015M2","101.251159250809"
"COMMUNICATION","2014M12","Index","2015M3","101.251159250809"
"COMMUNICATION","2014M12","Index","2015M4","101.251159250809"
"COMMUNICATION","2014M12","Index","2015M5","102.066235567276"
"COMMUNICATION","2014M12","Index","2015M6","102.066235567276"
"COMMUNICATION","2014M12","Index","2015M7","103.458657607908"
"COMMUNICATION","2014M12","Index","2015M8","103.458657607908"
"COMMUNICATION","2014M12","Index","2015M9","103.458657607908"
"COMMUNICATION","2014M12","Index","2015M10","102.066235567276"
"COMMUNICATION","2014M12","Index","2015M11","102.066235567276"
"COMMUNICATION","2014M12","Index","2015M12","102.066235567276"
"COMMUNICATION","2014M12","Index","2016M1","98.3900399335408"
"COMMUNICATION","2014M12","Index","2016M2","98.3900399335408"
"COMMUNICATION","2014M12","Index","2016M3","98.3900399335408"
"COMMUNICATION","2014M12","Index","2016M4","98.9839289663728"
"COMMUNICATION","2014M12","Index","2016M5","98.5655597505503"
"COMMUNICATION","2014M12","Index","2016M6","99.0697378445681"
"COMMUNICATION","2014M12","Index","2016M7","98.6513686287456"
"COMMUNICATION","2014M12","Index","2016M8","99.2789224524794"
"COMMUNICATION","2014M12","Index","2016M9","99.6972916683019"
"COMMUNICATION","2014M12","Index","2016M10","106.380765582505"
"COMMUNICATION","2014M12","Index","2016M11","107.051099800551"
"COMMUNICATION","2014M12","Index","2016M12","94.5816259470816"
"COMMUNICATION","2014M12","Index","2017M1","94.3137318687158"
"COMMUNICATION","2014M12","Index","2017M2","94.2786995873794"
"COMMUNICATION","2014M12","Index","2017M3","94.4145456401239"
"COMMUNICATION","2014M12","Index","2017M4","94.4145456401239"
"COMMUNICATION","2014M12","Index","2017M5","94.3124780721474"
"COMMUNICATION","2014M12","Index","2017M6","94.3844169630789"
"COMMUNICATION","2014M12","Index","2017M7","94.3844169630789"
"COMMUNICATION","2014M12","Index","2017M8","94.3844169630789"
"COMMUNICATION","2014M12","Index","2017M9","94.3844169630789"
"COMMUNICATION","2014M12","Index","2017M10","94.3844169630789"
"COMMUNICATION","2014M12","Index","2017M11","94.3844169630789"
"COMMUNICATION","2014M12","Index","2017M12","94.3844169630789"
"COMMUNICATION","2014M12","Index","2018M1","94.3844169630789"
"COMMUNICATION","2014M12","Index","2018M2","94.3844169630789"
"COMMUNICATION","2014M12","Index","2018M3","94.3776246604417"
"COMMUNICATION","2014M12","Index","2018M4","94.3268059139708"
"COMMUNICATION","2014M12","Index","2018M5","94.3268059139708"
"COMMUNICATION","2014M12","Index","2018M6","94.3268059139708"
"COMMUNICATION","2014M12","Index","2018M7","94.3268059139708"
"COMMUNICATION","2014M12","Index","2018M8","94.3268059139708"
"COMMUNICATION","2014M12","Index","2018M9","94.3268059139708"
"COMMUNICATION","2014M12","Index","2018M10","94.6043612837459"
"COMMUNICATION","2014M12","Index","2018M11","94.3658373367244"
"COMMUNICATION","2014M12","Index","2018M12","94.3658373367244"
"COMMUNICATION","2014M12","Index","2019M1","94.3658373367244"
"COMMUNICATION","2014M12","Index","2019M2","96.6587711947766"
"COMMUNICATION","2014M12","Index","2019M3","96.6587711947766"
"COMMUNICATION","2014M12","Index","2019M4","96.6587711947766"
"COMMUNICATION","2014M12","Index","2019M5","96.3237521097092"
"COMMUNICATION","2014M12","Index","2019M6","95.5466218607483"
"COMMUNICATION","2014M12","Index","2019M7","96.3237521097092"
"COMMUNICATION","2014M12","Index","2019M8","96.3237521097092"
"COMMUNICATION","2014M12","Index","2019M9","96.3237521097092"
"COMMUNICATION","2014M12","Index","2019M10","96.3237521097092"
"COMMUNICATION","2014M12","Index","2019M11","96.3237521097092"
"COMMUNICATION","2014M12","Index","2019M12","96.3237521097092"
"COMMUNICATION","2014M12","Index","2020M1","96.3237521097092"
"COMMUNICATION","2014M12","Index","2020M2","96.3237521097091"
"COMMUNICATION","2014M12","Index","2020M3","99.5687006825052"
"COMMUNICATION","2014M12","Index","2020M4","99.5687006825052"
"COMMUNICATION","2014M12","Index","2020M5","101.308279997448"
"COMMUNICATION","2014M12","Index","2020M6","101.308279997448"
"COMMUNICATION","2014M12","Index","2020M7","101.308279997448"
"COMMUNICATION","2014M12","Index","2020M8","101.308279997448"
"COMMUNICATION","2014M12","Index","2020M9","101.308279997448"
"COMMUNICATION","2014M12","Index","2020M10","101.308279997448"
"COMMUNICATION","2014M12","Index","2020M11","101.308279997448"
"COMMUNICATION","2014M12","Index","2020M12","101.095010851297"
"COMMUNICATION","2014M12","Index","2021M1","101.31"
"COMMUNICATION","2014M12","Index","2021M2","102.78"
"COMMUNICATION","2014M12","Index","2021M3","102.78"
"COMMUNICATION","2014M12","Index","2021M4","103.03"
"COMMUNICATION","2014M12","Index","2021M5","103.03"
"COMMUNICATION","2014M12","Index","2021M6","103.03"
"COMMUNICATION","2014M12","Index","2021M7","103.03"
"COMMUNICATION","2014M12","Index","2021M8","103.03"
"COMMUNICATION","2014M12","Index","2021M9","103.03"
"COMMUNICATION","2014M12","Index","2021M10","103.033727068404"
"COMMUNICATION","2014M12","Index","2021M11","103.033727068404"
"COMMUNICATION","2014M12","Index","2021M12","103.033727068404"
"COMMUNICATION","2014M12","Index","2022M1","103.033727068404"
"COMMUNICATION","2014M12","Index","2022M2","103.033727068404"
"COMMUNICATION","2014M12","Index","2022M3","103.033727068404"
"COMMUNICATION","2014M12","Index","2022M4","103.033727068404"
"COMMUNICATION","2014M12","Index","2022M5","103.03"
"COMMUNICATION","2014M12","Index","2022M6","103.03"
"COMMUNICATION","2014M12","Index","2022M7","103.03"
"COMMUNICATION","2014M12","Index","2022M8","103.03"
"RECREATION AND CULTURE","2014M12","Index","2014M12","100"
"RECREATION AND CULTURE","2014M12","Index","2015M1","99.7394357175719"
"RECREATION AND CULTURE","2014M12","Index","2015M2","97.5329704259381"
"RECREATION AND CULTURE","2014M12","Index","2015M3","100.152127653289"
"RECREATION AND CULTURE","2014M12","Index","2015M4","100.731546003065"
"RECREATION AND CULTURE","2014M12","Index","2015M5","100.606546003065"
"RECREATION AND CULTURE","2014M12","Index","2015M6","100.606546003065"
"RECREATION AND CULTURE","2014M12","Index","2015M7","102.83568103665"
"RECREATION AND CULTURE","2014M12","Index","2015M8","102.618172078038"
"RECREATION AND CULTURE","2014M12","Index","2015M9","102.743172078038"
"RECREATION AND CULTURE","2014M12","Index","2015M10","100.531546003065"
"RECREATION AND CULTURE","2014M12","Index","2015M11","100.531546003065"
"RECREATION AND CULTURE","2014M12","Index","2015M12","100.531546003065"
"RECREATION AND CULTURE","2014M12","Index","2016M1","97.9103978779768"
"RECREATION AND CULTURE","2014M12","Index","2016M2","97.561501942774"
"RECREATION AND CULTURE","2014M12","Index","2016M3","97.8134381642074"
"RECREATION AND CULTURE","2014M12","Index","2016M4","99.3936302634777"
"RECREATION AND CULTURE","2014M12","Index","2016M5","99.3936302634777"
"RECREATION AND CULTURE","2014M12","Index","2016M6","99.8788863929374"
"RECREATION AND CULTURE","2014M12","Index","2016M7","99.5585947244556"
"RECREATION AND CULTURE","2014M12","Index","2016M8","99.6061496474776"
"RECREATION AND CULTURE","2014M12","Index","2016M9","99.6729824124699"
"RECREATION AND CULTURE","2014M12","Index","2016M10","99.9611677185891"
"RECREATION AND CULTURE","2014M12","Index","2016M11","98.6900863727557"
"RECREATION AND CULTURE","2014M12","Index","2016M12","103.185561392699"
"RECREATION AND CULTURE","2014M12","Index","2017M1","99.14516942488"
"RECREATION AND CULTURE","2014M12","Index","2017M2","99.2932124606375"
"RECREATION AND CULTURE","2014M12","Index","2017M3","95.6059802102838"
"RECREATION AND CULTURE","2014M12","Index","2017M4","98.1025928177939"
"RECREATION AND CULTURE","2014M12","Index","2017M5","100.021125498673"
"RECREATION AND CULTURE","2014M12","Index","2017M6","98.9167069158152"
"RECREATION AND CULTURE","2014M12","Index","2017M7","99.7246241391402"
"RECREATION AND CULTURE","2014M12","Index","2017M8","100.772648819975"
"RECREATION AND CULTURE","2014M12","Index","2017M9","100.956953497393"
"RECREATION AND CULTURE","2014M12","Index","2017M10","101.593155852101"
"RECREATION AND CULTURE","2014M12","Index","2017M11","101.479742885332"
"RECREATION AND CULTURE","2014M12","Index","2017M12","101.41018257034"
"RECREATION AND CULTURE","2014M12","Index","2018M1","101.287987826376"
"RECREATION AND CULTURE","2014M12","Index","2018M2","101.287987826376"
"RECREATION AND CULTURE","2014M12","Index","2018M3","101.279556945663"
"RECREATION AND CULTURE","2014M12","Index","2018M4","101.611918495464"
"RECREATION AND CULTURE","2014M12","Index","2018M5","101.812670688267"
"RECREATION AND CULTURE","2014M12","Index","2018M6","101.812670688267"
"RECREATION AND CULTURE","2014M12","Index","2018M7","101.906200200878"
"RECREATION AND CULTURE","2014M12","Index","2018M8","101.906200200878"
"RECREATION AND CULTURE","2014M12","Index","2018M9","102.537843507699"
"RECREATION AND CULTURE","2014M12","Index","2018M10","104.380828510382"
"RECREATION AND CULTURE","2014M12","Index","2018M11","101.953963625579"
"RECREATION AND CULTURE","2014M12","Index","2018M12","102.502246043945"
"RECREATION AND CULTURE","2014M12","Index","2019M1","102.554877622892"
"RECREATION AND CULTURE","2014M12","Index","2019M2","102.794081971514"
"RECREATION AND CULTURE","2014M12","Index","2019M3","102.389192422005"
"RECREATION AND CULTURE","2014M12","Index","2019M4","102.337624188875"
"RECREATION AND CULTURE","2014M12","Index","2019M5","102.308269900597"
"RECREATION AND CULTURE","2014M12","Index","2019M6","101.154702196007"
"RECREATION AND CULTURE","2014M12","Index","2019M7","97.843377336234"
"RECREATION AND CULTURE","2014M12","Index","2019M8","98.2941295290374"
"RECREATION AND CULTURE","2014M12","Index","2019M9","97.3003407091616"
"RECREATION AND CULTURE","2014M12","Index","2019M10","98.4505962222307"
"RECREATION AND CULTURE","2014M12","Index","2019M11","98.4505962222307"
"RECREATION AND CULTURE","2014M12","Index","2019M12","98.4505962222307"
"RECREATION AND CULTURE","2014M12","Index","2020M1","98.5415053131398"
"RECREATION AND CULTURE","2014M12","Index","2020M2","98.5415053131398"
"RECREATION AND CULTURE","2014M12","Index","2020M3","98.5415053131397"
"RECREATION AND CULTURE","2014M12","Index","2020M4","98.5415053131397"
"RECREATION AND CULTURE","2014M12","Index","2020M5","98.5415053131397"
"RECREATION AND CULTURE","2014M12","Index","2020M6","98.5415053131397"
"RECREATION AND CULTURE","2014M12","Index","2020M7","98.5415053131397"
"RECREATION AND CULTURE","2014M12","Index","2020M8","98.5415053131397"
"RECREATION AND CULTURE","2014M12","Index","2020M9","98.5415053131396"
"RECREATION AND CULTURE","2014M12","Index","2020M10","98.5415053131396"
"RECREATION AND CULTURE","2014M12","Index","2020M11","98.5415053131396"
"RECREATION AND CULTURE","2014M12","Index","2020M12","98.0457645241519"
"RECREATION AND CULTURE","2014M12","Index","2021M1","98.13"
"RECREATION AND CULTURE","2014M12","Index","2021M2","100.04"
"RECREATION AND CULTURE","2014M12","Index","2021M3","101.9"
"RECREATION AND CULTURE","2014M12","Index","2021M4","103.75"
"RECREATION AND CULTURE","2014M12","Index","2021M5","103.75"
"RECREATION AND CULTURE","2014M12","Index","2021M6","103.75"
"RECREATION AND CULTURE","2014M12","Index","2021M7","103.75"
"RECREATION AND CULTURE","2014M12","Index","2021M8","103.75"
"RECREATION AND CULTURE","2014M12","Index","2021M9","103.75"
"RECREATION AND CULTURE","2014M12","Index","2021M10","103.752904668254"
"RECREATION AND CULTURE","2014M12","Index","2021M11","103.752904668254"
"RECREATION AND CULTURE","2014M12","Index","2021M12","103.682795047931"
"RECREATION AND CULTURE","2014M12","Index","2022M1","101.639715030777"
"RECREATION AND CULTURE","2014M12","Index","2022M2","101.639715030777"
"RECREATION AND CULTURE","2014M12","Index","2022M3","103.84717937208"
"RECREATION AND CULTURE","2014M12","Index","2022M4","103.84717937208"
"RECREATION AND CULTURE","2014M12","Index","2022M5","103.85"
"RECREATION AND CULTURE","2014M12","Index","2022M6","103.85"
"RECREATION AND CULTURE","2014M12","Index","2022M7","103.85"
"RECREATION AND CULTURE","2014M12","Index","2022M8","103.85"
"EDUCATION","2014M12","Index","2014M12","100"
"EDUCATION","2014M12","Index","2015M1","98.215169508419"
"EDUCATION","2014M12","Index","2015M2","98.215169508419"
"EDUCATION","2014M12","Index","2015M3","98.3872072365187"
"EDUCATION","2014M12","Index","2015M4","98.7312826927183"
"EDUCATION","2014M12","Index","2015M5","98.3872072365188"
"EDUCATION","2014M12","Index","2015M6","99.2473958770177"
"EDUCATION","2014M12","Index","2015M7","102.88146257027"
"EDUCATION","2014M12","Index","2015M8","103.266065304724"
"EDUCATION","2014M12","Index","2015M9","103.524121896874"
"EDUCATION","2014M12","Index","2015M10","99.6774901972673"
"EDUCATION","2014M12","Index","2015M11","100.689147024332"
"EDUCATION","2014M12","Index","2015M12","101.171695637069"
"EDUCATION","2014M12","Index","2016M1","106.023195139419"
"EDUCATION","2014M12","Index","2016M2","106.023195139419"
"EDUCATION","2014M12","Index","2016M3","106.023195139419"
"EDUCATION","2014M12","Index","2016M4","101.535208574802"
"EDUCATION","2014M12","Index","2016M5","101.535208574802"
"EDUCATION","2014M12","Index","2016M6","99.9585411907389"
"EDUCATION","2014M12","Index","2016M7","99.9585411907389"
"EDUCATION","2014M12","Index","2016M8","99.9585411907389"
"EDUCATION","2014M12","Index","2016M9","99.9585411907389"
"EDUCATION","2014M12","Index","2016M10","102.772267223657"
"EDUCATION","2014M12","Index","2016M11","101.07204800168"
"EDUCATION","2014M12","Index","2016M12","97.8179988585065"
"EDUCATION","2014M12","Index","2017M1","104.586662915101"
"EDUCATION","2014M12","Index","2017M2","102.818108094695"
"EDUCATION","2014M12","Index","2017M3","101.211804626317"
"EDUCATION","2014M12","Index","2017M4","106.698405166333"
"EDUCATION","2014M12","Index","2017M5","107.035905166333"
"EDUCATION","2014M12","Index","2017M6","107.75044676264"
"EDUCATION","2014M12","Index","2017M7","107.609567604172"
"EDUCATION","2014M12","Index","2017M8","100.322928827881"
"EDUCATION","2014M12","Index","2017M9","100.317559105082"
"EDUCATION","2014M12","Index","2017M10","100.386374196322"
"EDUCATION","2014M12","Index","2017M11","100.472393060372"
"EDUCATION","2014M12","Index","2017M12","100.429383628347"
"EDUCATION","2014M12","Index","2018M1","100.429383628347"
"EDUCATION","2014M12","Index","2018M2","101.199685661893"
"EDUCATION","2014M12","Index","2018M3","100.52325623922"
"EDUCATION","2014M12","Index","2018M4","100.39787240546"
"EDUCATION","2014M12","Index","2018M5","100.39787240546"
"EDUCATION","2014M12","Index","2018M6","100.39787240546"
"EDUCATION","2014M12","Index","2018M7","100.39787240546"
"EDUCATION","2014M12","Index","2018M8","100.39787240546"
"EDUCATION","2014M12","Index","2018M9","97.4823766467221"
"EDUCATION","2014M12","Index","2018M10","100.613118018893"
"EDUCATION","2014M12","Index","2018M11","100.449027809151"
"EDUCATION","2014M12","Index","2018M12","100.449027809151"
"EDUCATION","2014M12","Index","2019M1","100.449027809151"
"EDUCATION","2014M12","Index","2019M2","101.541468507076"
"EDUCATION","2014M12","Index","2019M3","106.961785743855"
"EDUCATION","2014M12","Index","2019M4","106.961785743855"
